name,link,image,labelimage,parentsite,sale,price,selling price, discount,additonal charges, category,keywords,description,short description
Kraasa Decent Casual Shoes,http://www.flipkart.com/kraasa-decent-casual-shoes/p/itmecyv5kbajqazg?pid=SHOECYV5NZN9KNS2&al=r2C8PWNyaAP3JFKyHRCrZcldugMWZuE7eGHgUTGjVrpdMWbNqcOiki4UDPc6G0fZzCRAhs5O4X8%3D&ref=L%3A-6776159481676807541&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/shoe/w/g/a/tan-905-kraasa-7-400x400-imaecytjfjfsrzsw.jpeg,http://img6a.flixcart.com/image/shoe/w/g/a/tan-905-kraasa-7-400x400-imaecytjfjfsrzsw.jpeg,www.flipkart.com,on,Rs. 1200,Rs. 499,58.0,Rs 60 Delivery,,	Footwear	Men's Footwear	Casual Shoes	Kraasa Casual Shoes	Kraasa Decent Casual Shoes,,
Glory Sarees Geometric Print Bhagalpuri Art Silk Sari,http://www.flipkart.com/glory-sarees-geometric-print-bhagalpuri-art-silk-sari/p/itmee99fyqvw7rtn?pid=SAREE99FHVEYUYHG&al=r2C8PWNyaANGQQ9mvNGX1sldugMWZuE7eGHgUTGjVrp1rRU2N8eBYtxlu3WtRJocxEbEtS6SWJA%3D&ref=L%3A-8017365286472104372&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/sari/y/h/g/1-1-bhagalpuri-printed-glory-sarees-400x400-imaee9fyfdqzztmr.jpeg,http://img5a.flixcart.com/image/sari/y/h/g/1-1-bhagalpuri-printed-glory-sarees-400x400-imaee9fyfdqzztmr.jpeg,www.flipkart.com,on,Rs. 1299,Rs. 399,69.0,Rs 40 Delivery,,	Clothing	Women's Clothing	Ethnic Wear	Sarees	Glory Sarees Sarees	Glory Sarees Geometric Print Bhagalpuri Art Silk...,,With Blouse Piece	Bhagalpuri Sari	Art Silk	Multicolor
Puma Wrap Black F-Track Sports Sunglasses,http://www.flipkart.com/puma-wrap-black-f-track-sports-sunglasses/p/itmee4p2ktqg2yhb?pid=SGLEE4P2YH4DHVHH&al=r2C8PWNyaAMPd1znxAmvqcldugMWZuE7eGHgUTGjVrrJh%2FxLFaxtQshhC12OVpwPF%2BwRkVjeVKI%3D&ref=L%3A-8470050938775908845&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/sunglass/k/3/c/101-nike-m-400x400-imaee3zhbhjgk7yy.jpeg,http://img5a.flixcart.com/image/sunglass/k/3/c/101-nike-m-400x400-imaee3zhbhjgk7yy.jpeg,www.flipkart.com,on,Rs. 1299,Rs. 279,78.0,Rs 60 Delivery,,,,Face Type - Heart  Square  Round  Oval	Frame Type - Full-frame
Artzz Retro Aviator Sunglasses,http://www.flipkart.com/artzz-retro-aviator-sunglasses/p/itme6zsbe94cgqry?pid=SGLE6ZSB9NZJ4CPS&al=r2C8PWNyaAMPd1znxAmvqcldugMWZuE7eGHgUTGjVrp4TcIEb9JzljwAb5YgADbtnsP7rZKEiGM%3D&ref=L%3A-8470050938775908845&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/sunglass/c/p/s/vnksun-artzz-m-400x400-imae6zqgharvcz4j.jpeg,http://img5a.flixcart.com/image/sunglass/c/p/s/vnksun-artzz-m-400x400-imae6zqgharvcz4j.jpeg,www.flipkart.com,on,Rs. 1699,Rs. 285,83.0,no additional charges,,	Sunglasses	Artzz Retro Aviator Sunglasses,,Face Type - Oval	Frame Type - Full-frame	Polarized - No	UV Protection - 100%
Farenheit Aviator Sunglasses,http://www.flipkart.com/farenheit-aviator-sunglasses/p/itmeyqguanjhdzgf?pid=SGLEYQGUZEMJQG3M&al=r2C8PWNyaAMPd1znxAmvqcldugMWZuE7eGHgUTGjVro3XvwBXHLjG6s7szxw%2Br%2FP%2Bj6YRRxBuC8%3D&ref=L%3A-8470050938775908845&srno=b_3&affid=bhumitkat,http://img6a.flixcart.com/image/sunglass/g/3/m/fa-1076-c5-farenheit-m-400x400-imae37gfmzwyskjp.jpeg,http://img6a.flixcart.com/image/sunglass/g/3/m/fa-1076-c5-farenheit-m-400x400-imae37gfmzwyskjp.jpeg,www.flipkart.com,on,Rs. 1999,Rs. 999,50.0,no additional charges,,	Sunglasses	Farenheit Aviator Sunglasses,,Face Type - Round	Frame Type - Full-frame	Polarized - No	UV Protection - 100%
Philips HP8303 Hair Straightener,http://www.flipkart.com/philips-hp8303-hair-straightener/p/itme6kb6mngc4x9p?pid=HSTE6KB6DDMFTAZ8&al=r2C8PWNyaANdL3T9hYmun8ldugMWZuE793A%2Fmg2RE3YlaMr2Wn%2B5msxwQlCOTdSdhiwFsRtJLFs%3D&ref=L%3A6176620554346581176&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/hair-straightener/a/z/8/philips-hp8303-400x400-imaeatme6gmcxhkf.jpeg,http://img6a.flixcart.com/image/hair-straightener/a/z/8/philips-hp8303-400x400-imaeatme6gmcxhkf.jpeg,www.flipkart.com,on,Rs. 1245,Rs. 899,27.0,no additional charges,,	Health & Personal Care Appliances	Personal Care Appliances	Hair Styling Tools	For Her	Hair Straighteners	Philips HP8303 Hair Straightener,,Swivel Cord	Rapid Heat-up	Infused Ceramic Plates	Rotatable Swivel Cord
Caboki Hair Building Fiber Black,http://www.flipkart.com/caboki-hair-building-fiber-black/p/itme39qkgejphjgh?pid=HTTE39QK9GXJRVHQ&al=r2C8PWNyaAPZUZlwvbMcDsldugMWZuE793A%2Fmg2RE3bh4XeTrD6yfVlNAMkhVmDj4Tkff33BEQw%3D&ref=L%3A5949682411119003839&srno=b_1&affid=bhumitkat,http://img5a.flixcart.com/image/hair-treatment/v/h/q/caboki-25-hair-building-fiber-black-400x400-imae39jyf78yksna.jpeg,http://img5a.flixcart.com/image/hair-treatment/v/h/q/caboki-25-hair-building-fiber-black-400x400-imae39jyf78yksna.jpeg,www.flipkart.com,on,Rs. 2700,Rs. 800,70.0,no additional charges,,	Beauty and Personal Care	Hair Care	Hair Treatments	Caboki Hair Treatments	Caboki Hair Building Fiber Black (25 g),,
Caboki Black,http://www.flipkart.com/caboki-black/p/itmdyarwrthzaysn?pid=HTTDYARW7MTAS4ED&al=r2C8PWNyaAPZUZlwvbMcDsldugMWZuE793A%2Fmg2RE3YetHMVToR5Hlwu154H281Wq0L%2F6033F5Y%3D&ref=L%3A5949682411119003839&srno=b_2&affid=bhumitkat,http://img5a.flixcart.com/image/hair-treatment/g/4/w/caboki-25-light-brown-400x400-imadyhekckktjhkp.jpeg,http://img5a.flixcart.com/image/hair-treatment/g/4/w/caboki-25-light-brown-400x400-imadyhekckktjhkp.jpeg,www.flipkart.com,on,Rs. 2700,Rs. 750,72.0,Rs 40 Delivery,,	Beauty and Personal Care	Hair Care	Hair Treatments	Caboki Hair Treatments	Caboki Black (25 g),,Hair Building Fiber
Evana Remote Selfie Stick Selfie Stick,http://www.flipkart.com/evana-remote-selfie-stick/p/itme7bbhrcvy49r7?pid=ACCE7BBHDCZRXGKX&al=r2C8PWNyaAPhYY5CatzyzsldugMWZuE7sHPMhtl4IOrt1tQ5es4tnYjPjH5BBp5RripzxfVyB5s%3D&ref=L%3A-5214203321099664565&srno=b_1&affid=bhumitkat,http://img6a.flixcart.com/image/tripod/monopod/g/k/x/evana-remote-selfie-stick-400x400-imae6pztfsegerch.jpeg,http://img6a.flixcart.com/image/tripod/monopod/g/k/x/evana-remote-selfie-stick-400x400-imae6pztfsegerch.jpeg,www.flipkart.com,on,Rs. 999,Rs. 349,65.0,Rs 40 Delivery,,	Cameras & Accessories	Camera Accessories	Selfie Sticks & Monopods	Evana Selfie Sticks & Monopods	Evana Remote Selfie Stick Selfie Stick (Black, S...,,
H.P.D Stick with Bluetooth Remote Selfie Stick,http://www.flipkart.com/h-p-d-stick-bluetooth-remote-selfie/p/itme2cg4uvmgxav3?pid=ACCE2CG4GQEHFMHH&al=r2C8PWNyaAPhYY5CatzyzsldugMWZuE7sHPMhtl4IOrKZ%2FmFSbOGGWfGeeaCuZp4mXMrNOHUZIk%3D&ref=L%3A-5214203321099664565&srno=b_2&affid=bhumitkat,http://img6a.flixcart.com/image/tripod/monopod/m/h/h/selfie-stick-with-bluetooth-remote-400x400-imae793yzxvyfm2c.jpeg,http://img6a.flixcart.com/image/tripod/monopod/m/h/h/selfie-stick-with-bluetooth-remote-400x400-imae793yzxvyfm2c.jpeg,www.flipkart.com,on,Rs. 1299,Rs. 248,80.0,Rs 100 Delivery,,	Cameras & Accessories	Camera Accessories	Selfie Sticks & Monopods	H.P.D Selfie Sticks & Monopods	H.P.D Stick with Bluetooth Remote Selfie Stick (...,,Direct Use No App	High Quality Material	Rubber Grip	Click Great Selfies
